writ_id,lab_session_id,transcript_file,mode,turn_idx,timestamp,model,input_tokens,cache_creation_input_tokens,cache_read_input_tokens,cache_creation_5m,cache_creation_1h,output_tokens,num_tool_use,num_text_blocks
w-mnynxz7n-d658562985a6,ses-mnyo4o89-75bedd57,ef25fdf3-26b4-4251-97be-a992d860e492.jsonl#1,ANALYST,1,2026-04-14T13:39:46.498Z,claude-opus-4-6,3,443,124954,0,443,109,0,0
w-mnynxz7n-d658562985a6,ses-mnyo4o89-75bedd57,ef25fdf3-26b4-4251-97be-a992d860e492.jsonl#1,ANALYST,2,2026-04-14T13:39:53.361Z,claude-opus-4-6,1,6150,125397,0,6150,354,0,0
w-mnynxz7n-d658562985a6,ses-mnyo4o89-75bedd57,ef25fdf3-26b4-4251-97be-a992d860e492.jsonl#1,ANALYST,3,2026-04-14T13:39:59.128Z,claude-opus-4-6,1,1908,131547,0,1908,154,1,0
w-mnynxz7n-d658562985a6,ses-mnyo4o89-75bedd57,ef25fdf3-26b4-4251-97be-a992d860e492.jsonl#1,ANALYST,4,2026-04-14T13:40:01.988Z,claude-opus-4-6,1,175,133455,0,175,129,1,0
w-mnynxz7n-d658562985a6,ses-mnyo4o89-75bedd57,ef25fdf3-26b4-4251-97be-a992d860e492.jsonl#1,ANALYST,5,2026-04-14T13:40:15.326Z,claude-opus-4-6,1,950,133630,0,950,153,0,1
w-mnynxz7n-d658562985a6,ses-mnyo4o89-75bedd57,ef25fdf3-26b4-4251-97be-a992d860e492.jsonl#1,ANALYST,6,2026-04-14T13:40:20.715Z,claude-opus-4-6,1,1250,134580,0,1250,158,1,0
w-mnynxz7n-d658562985a6,ses-mnyo4o89-75bedd57,ef25fdf3-26b4-4251-97be-a992d860e492.jsonl#1,ANALYST,7,2026-04-14T13:40:23.633Z,claude-opus-4-6,1,224,135830,0,224,129,1,0
w-mnynxz7n-d658562985a6,ses-mnyo4o89-75bedd57,ef25fdf3-26b4-4251-97be-a992d860e492.jsonl#1,ANALYST,8,2026-04-14T13:41:10.949Z,claude-opus-4-6,1,1390,135830,0,1390,2060,0,0
w-mnynxz7n-d658562985a6,ses-mnyo4o89-75bedd57,ef25fdf3-26b4-4251-97be-a992d860e492.jsonl#1,ANALYST,9,2026-04-14T13:41:14.665Z,claude-opus-4-6,1,2937,137220,0,2937,128,1,0
w-mnynxz7n-d658562985a6,ses-mnyo4o89-75bedd57,ef25fdf3-26b4-4251-97be-a992d860e492.jsonl#1,ANALYST,10,2026-04-14T13:41:17.084Z,claude-opus-4-6,1,883,140157,0,883,143,0,1
w-mnynxz7n-d658562985a6,ses-mnyo4o89-75bedd57,ef25fdf3-26b4-4251-97be-a992d860e492.jsonl#1,ANALYST,11,2026-04-14T13:41:21.413Z,claude-opus-4-6,1,738,141040,0,738,204,0,1
w-mnynxz7n-d658562985a6,ses-mnyo4o89-75bedd57,ef25fdf3-26b4-4251-97be-a992d860e492.jsonl#1,ANALYST,12,2026-04-14T13:41:26.807Z,claude-opus-4-6,1,592,141778,0,592,128,1,0
w-mnynxz7n-d658562985a6,ses-mnyo4o89-75bedd57,ef25fdf3-26b4-4251-97be-a992d860e492.jsonl#1,ANALYST,13,2026-04-14T13:41:41.418Z,claude-opus-4-6,1,1248,142370,0,1248,504,0,0
w-mnynxz7n-d658562985a6,ses-mnyo4o89-75bedd57,ef25fdf3-26b4-4251-97be-a992d860e492.jsonl#1,ANALYST,14,2026-04-14T13:41:44.795Z,claude-opus-4-6,3,1166,143618,0,1166,764,0,0
