lab_session_id	mode	lab_input	comp_input	diff_input	lab_cache_write	comp_cache_create	diff_cache_write	lab_cache_read	comp_cache_read	diff_cache_read	lab_output	comp_output	diff_output
ses-mnyo4o89-75bedd57	ANALYST	28	28	+0	47751	47751	+0	2127101	2127101	+0	12250	12250	+0
ses-mnyny3dh-76d2bb5e	READER	58	58	+0	119105	119105	+0	3251359	3251359	+0	11676	11676	+0
ses-mnynxr8e-500ec54d	READER	68	68	+0	98326	98326	+0	3461468	3461468	+0	27873	27873	+0
ses-mnyp1r74-494756df	ANALYST	20	20	+0	53895	53895	+0	351674	351674	+0	8483	8483	+0
ses-mnynyg35-649d4f10	READER-ANALYST	142	142	+0	133588	133588	+0	2051686	2051686	+0	19650	19650	+0
ses-mnyo7dch-14130aa7	READER-ANALYST	36	36	+0	86853	86853	+0	1426982	1426982	+0	16215	16215	+0
ses-mnyo27cd-eb9f948b	ANALYST	20	20	+0	67961	67961	+0	396521	396521	+0	10349	10349	+0
ses-mnynxixj-60d11968	READER	33	33	+0	80785	80785	+0	1313116	1313116	+0	10600	10600	+0
ses-mnyny7tm-985e52d7	READER	22	22	+0	87619	87619	+0	494079	494079	+0	10071	10071	+0
ses-mnyo2b7u-fd61e23e	ANALYST	13	13	+0	58538	58538	+0	761257	761257	+0	13414	13414	+0
